1.您的性别○男性   ○女性,2.您的年级○大一   ○大二   ○大三   ○大四,3.您的生源地○农村   ○城镇（乡镇）   ○地县级城市  ○省会城市及直辖市,"4.您的月生活费○≦1,000元   ○1,001-2,000元   ○2,001-3,000元   ○≧3,001元",5.您进行过绿色低碳的相关生活方式吗?,6.您觉得“低碳”，与你的生活关系密切吗？,7.低碳生活是否会成为未来的主流生活方式？,8.您是否认为低碳生活会提高您的生活质量？,9.您从以下哪种途径获取有关于“低碳”的信息？(电视广播传媒),9 (专业环保机构),9 (报刊杂志),9(社交互动平台),9 (家人朋友同学),9 (学校宣传教育),10.您认为以下哪些方法能提高绿色低碳意识? (加强低碳宣传力度),10 (加强低碳普及教育),10 (完善绿色低碳设施),10(建立健全相关的政策法规),11.......会影响我对低碳生活的看法—家人亲友的实践,身边的人的响应,周围的人身体力行,舆论媒体积极倡导,12.我认为低碳生活…—是明智的行为 ,对大家都有好处,能够减缓气候变暖,对解决环境问题是有益的,13.—我有能力选择低碳生活,我有条件实施低碳生活,我有机会执行低碳生活,我有足够知识进行低碳生活,14.我打算以后…—减少使用一次性产品,合理处理生活中的废弃物,在日常生活中会进行垃圾分类,尽可能劝说周围的人进行低碳生活,15.日常生活中，我会......—对垃圾进行分类,重复利用废旧物品,避免使用一次性产品,劝说周围的人进行低碳生活,低碳行为积极性
1,3.0,2.0,-0.2999645033424777,1.0,2.0,2.0,3,0,0,1,0,0,1,0,0,1,1.0,2,2.0,2,2,5,5,5,3,5,4,5,3,2,1,3,2,2,1,2,2,0
1,2.0,3.0,-1.3575316625627514,1.0,3.0,1.0,2,1,1,1,0,0,0,0,1,1,0.0,4,4.0,4,4,4,5,5,4,5,4,4,4,5,4,4,4,3,4,4,5,0
2,2.0,1.0,-0.2999645033424777,1.0,1.0,1.0,1,1,1,0,1,0,1,1,1,1,1.0,4,5.0,5,5,5,5,4,5,4,4,4,4,5,5,4,4,4,5,4,4,0
1,3.0,3.0,-0.2999645033424777,1.0,3.0,1.0,3,1,1,0,0,0,0,1,0,1,0.0,5,5.0,5,4,5,4,5,4,5,4,4,5,5,5,4,5,4,4,4,4,0
1,2.0,3.0,0.7576026558777961,1.0,2.0,1.0,1,1,1,0,0,0,0,1,1,0,0.0,4,4.0,5,5,5,5,4,5,4,4,4,5,5,5,4,5,4,4,5,5,0
2,2.0,1.0,-1.3575316625627514,1.0,1.0,2.0,3,1,0,1,1,1,0,1,1,1,0.0,4,4.0,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,0
2,3.0,2.0,1.8151698150980697,1.0,3.0,4.0,1,0,1,1,0,0,0,0,0,1,1.0,1,2.0,3,2,4,4,5,5,1,2,2,2,5,4,5,5,4,5,5,3,0
1,3.0,1.0,1.8151698150980697,1.0,2.0,1.0,1,1,1,1,0,0,0,0,1,1,0.0,4,5.0,5,5,5,5,5,3,4,5,4,4,1,1,1,3,4,5,4,5,0
1,1.0,1.0,-0.2999645033424777,1.0,2.0,2.0,1,1,0,1,0,1,0,0,0,0,1.0,5,4.0,5,5,3,4,4,4,1,1,1,2,3,5,3,4,1,1,1,1,0
2,2.0,1.0,0.7576026558777961,1.0,1.0,1.0,1,1,0,1,1,0,1,1,1,1,1.0,5,5.0,5,5,5,5,5,5,4,4,4,3,5,5,5,5,5,5,5,5,0
2,2.0,3.0,-1.3575316625627514,1.0,1.0,4.0,2,1,1,0,1,0,0,1,1,0,0.0,3,4.0,5,4,5,5,4,5,4,3,5,4,5,4,4,5,4,4,5,4,0
1,3.0,2.0,-0.2999645033424777,1.0,4.0,1.0,1,0,0,1,0,0,1,1,1,0,0.0,4,5.0,4,4,4,4,5,4,5,4,5,4,1,2,2,3,1,1,1,1,0
2,2.0,2.0,-1.3575316625627514,1.0,1.0,2.0,2,1,0,1,0,1,1,0,0,1,1.0,4,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
1,3.0,2.0,-1.3575316625627514,1.0,1.0,1.0,1,0,1,1,1,0,0,1,0,1,0.0,4,3.0,5,4,4,4,4,3,3,4,3,4,2,2,2,1,4,5,5,4,0
2,4.0,3.0,-0.2999645033424777,1.0,2.0,3.0,2,1,1,0,1,0,0,0,1,0,1.0,5,4.0,3,5,4,4,5,4,5,4,4,5,5,5,4,5,5,4,3,4,0
2,3.0,3.0,-0.2999645033424777,1.0,1.0,1.0,2,1,1,0,0,0,1,0,1,0,0.0,4,4.0,5,5,3,5,4,5,3,4,4,5,5,5,4,5,5,4,3,4,0
2,2.0,3.0,-0.2999645033424777,1.0,1.0,1.0,4,1,0,1,0,0,0,1,1,0,0.0,3,4.0,3,4,5,4,4,5,4,5,4,4,4,3,5,4,5,4,3,4,0
1,4.0,2.0,-0.2999645033424777,1.0,1.0,1.0,2,1,0,0,1,0,1,1,1,1,0.0,4,4.0,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,3,4,3,0
2,2.0,2.0,-0.2999645033424777,1.0,2.0,2.0,3,0,1,0,1,0,0,0,1,1,0.0,4,5.0,4,4,5,4,4,4,3,4,5,4,5,4,5,4,4,4,4,5,0
2,3.0,2.0,0.7576026558777961,1.0,1.0,2.0,3,1,1,0,0,0,1,0,1,1,0.0,5,4.0,5,4,1,2,1,1,5,5,4,4,4,5,5,5,4,5,5,5,0
2,1.0,2.0,-0.2999645033424777,1.0,2.0,1.0,2,1,1,0,0,0,1,0,0,1,1.0,4,5.0,5,4,5,5,4,4,2,3,1,2,5,5,5,4,4,4,5,5,0
1,2.0,2.0,-0.2999645033424777,2.0,2.0,2.0,2,1,0,0,0,0,0,0,0,1,1.0,5,5.0,5,5,3,5,1,3,3,2,2,2,2,5,2,2,2,2,2,2,0
2,3.0,4.0,-0.2999645033424777,1.0,3.0,4.0,1,0,1,1,0,0,0,1,1,0,0.0,3,4.0,4,4,2,1,3,2,2,2,2,2,2,2,2,2,5,5,4,5,0
2,1.0,1.0,-1.3575316625627514,1.0,1.0,1.0,2,1,1,1,0,0,1,1,1,1,1.0,5,5.0,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0
2,3.0,1.0,0.7576026558777961,1.0,3.0,2.0,2,0,1,1,0,1,0,1,0,1,0.0,3,4.0,4,5,5,4,4,5,5,4,5,4,1,1,3,1,5,4,3,5,0
1,2.0,3.0,-0.2999645033424777,1.0,1.0,2.0,2,0,1,0,1,0,0,1,0,0,0.0,4,3.0,4,5,3,4,5,3,4,4,5,4,4,3,4,5,4,3,4,4,0
2,3.0,2.0,0.7576026558777961,1.0,1.0,1.0,1,0,0,1,1,1,0,0,1,0,0.0,4,4.0,5,5,1,2,2,2,5,4,5,5,5,3,5,5,1,2,3,2,0
1,4.0,2.0,0.7576026558777961,1.0,1.0,1.0,1,1,1,0,0,0,0,0,1,1,0.0,5,4.0,5,4,2,1,2,2,2,2,2,2,4,4,4,4,4,5,5,5,0
1,2.0,1.0,-0.2999645033424777,1.0,1.0,1.0,2,1,0,0,1,1,1,1,1,1,1.0,5,4.0,4,4,5,5,5,5,5,4,4,4,5,5,5,4,4,5,5,4,0
1,3.0,4.0,-1.3575316625627514,1.0,2.0,4.0,1,0,1,0,0,0,1,0,1,1,0.0,5,4.0,4,4,2,2,2,2,5,4,5,4,3,4,4,5,1,1,1,3,0
1,3.0,2.0,-1.3575316625627514,1.0,2.0,1.0,1,1,1,0,0,0,0,1,0,0,1.0,5,4.0,3,4,2,3,1,2,4,5,5,5,5,4,4,5,4,5,5,4,0
1,3.0,1.0,1.8151698150980697,1.0,4.0,2.0,1,0,0,1,0,0,1,0,1,1,0.0,2,2.0,2,2,4,4,5,4,5,3,5,5,4,4,5,5,5,4,5,4,0
2,2.0,2.0,-0.2999645033424777,1.0,2.0,1.0,2,1,1,0,1,0,0,1,1,1,0.0,5,4.0,5,4,4,5,5,5,5,5,5,4,4,4,3,5,3,5,4,5,0
1,2.0,3.0,0.7576026558777961,1.0,1.0,2.0,1,0,0,0,1,1,0,1,1,0,0.0,4,5.0,5,4,3,4,4,4,3,5,5,5,4,5,5,5,1,1,1,1,0
2,2.0,2.0,-0.2999645033424777,1.0,1.0,2.0,3,1,1,0,1,0,1,1,1,1,1.0,5,5.0,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,0
2,1.0,2.0,0.7576026558777961,1.0,1.0,1.0,1,0,0,0,1,1,0,1,1,0,0.0,1,1.0,1,3,5,3,5,5,3,4,4,5,5,4,5,4,3,5,4,5,0
1,2.0,2.0,-1.3575316625627514,1.0,2.0,1.0,1,0,1,0,1,0,0,0,1,1,0.0,3,4.0,4,5,3,5,3,4,4,4,5,5,4,4,5,4,4,4,4,5,0
2,2.0,1.0,-0.2999645033424777,1.0,4.0,1.0,2,1,1,0,0,0,1,0,1,1,0.0,3,4.0,5,4,3,5,5,4,5,4,4,4,5,5,4,4,4,5,4,4,0
1,3.0,3.0,1.8151698150980697,1.0,2.0,3.0,1,0,0,1,1,1,0,1,0,1,0.0,4,5.0,5,3,5,4,5,4,1,2,1,1,2,1,2,2,4,4,4,5,0
1,1.0,1.0,0.7576026558777961,1.0,2.0,3.0,2,0,1,1,0,0,0,0,0,1,1.0,4,4.0,5,4,4,5,5,5,1,1,1,1,5,4,4,5,5,4,4,4,0
2,3.0,1.0,1.8151698150980697,1.0,3.0,1.0,2,0,1,0,1,0,0,1,1,0,0.0,3,4.0,4,5,4,4,5,4,5,5,4,4,4,5,4,4,4,4,4,5,0
2,2.0,4.0,-1.3575316625627514,1.0,4.0,3.0,1,0,1,0,1,0,0,1,1,0,0.0,5,4.0,5,4,3,4,4,5,4,4,5,5,5,4,5,5,5,4,4,4,0
2,1.0,3.0,-0.2999645033424777,1.0,1.0,1.0,2,1,0,0,1,0,1,1,1,1,1.0,4,4.0,4,4,5,5,5,5,5,5,5,4,5,5,5,3,4,4,4,3,0
1,3.0,1.0,0.7576026558777961,1.0,4.0,2.0,4,0,1,1,0,0,0,0,1,1,0.0,4,5.0,5,4,5,4,5,4,4,4,5,5,5,5,4,4,5,4,3,4,0
1,2.0,2.0,0.7576026558777961,1.0,1.0,2.0,2,0,0,1,0,0,1,1,1,0,0.0,4,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
2,3.0,2.0,-0.2999645033424777,1.0,1.0,1.0,2,1,0,0,0,0,1,1,1,1,1.0,4,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,0
1,1.0,3.0,-1.3575316625627514,1.0,2.0,3.0,3,1,0,1,0,1,0,0,1,1,0.0,3,5.0,3,4,5,5,5,5,2,1,1,2,5,5,4,4,2,1,3,2,0
1,2.0,2.0,-0.2999645033424777,1.0,2.0,2.0,2,0,0,1,1,1,0,1,0,1,0.0,4,5.0,5,4,4,5,5,5,1,1,1,3,5,4,3,5,5,4,5,3,0
2,1.0,3.0,0.7576026558777961,1.0,2.0,3.0,2,0,1,0,1,0,0,1,0,1,0.0,5,4.0,3,4,4,4,5,5,4,4,5,5,4,5,5,5,5,4,5,4,0
1,2.0,4.0,-0.2999645033424777,1.0,2.0,2.0,3,1,1,0,0,0,0,0,1,1,0.0,4,4.0,4,4,4,4,3,4,4,4,4,2,3,4,2,3,3,4,3,3,0
1,3.0,3.0,0.7576026558777961,1.0,2.0,2.0,3,0,1,0,0,0,1,0,1,1,0.0,5,5.0,5,4,5,5,4,4,2,2,2,1,2,1,2,2,5,5,5,3,0
1,4.0,2.0,1.8151698150980697,1.0,2.0,2.0,3,1,1,1,0,0,0,0,1,1,0.0,1,1.0,1,3,4,3,5,4,3,5,4,5,1,1,1,2,5,4,5,4,0
2,2.0,2.0,0.7576026558777961,1.0,2.0,4.0,2,1,0,0,1,0,0,0,1,0,0.0,4,4.0,5,5,4,4,4,5,5,5,4,5,1,2,1,1,3,4,4,4,0
1,2.0,3.0,-1.3575316625627514,1.0,1.0,1.0,2,1,0,1,0,0,0,0,1,1,0.0,1,2.0,3,2,4,5,4,4,5,5,4,4,4,5,4,4,3,4,4,4,0
1,3.0,1.0,1.8151698150980697,1.0,1.0,2.0,4,1,0,0,1,0,0,1,0,1,0.0,4,5.0,5,3,3,1,1,2,5,5,4,5,5,4,5,4,5,4,5,4,0
1,4.0,2.0,-0.2999645033424777,1.0,4.0,2.0,3,0,1,1,0,1,0,0,0,1,1.0,4,5.0,5,3,4,4,4,5,5,4,4,5,5,5,5,4,4,4,5,4,0
2,1.0,4.0,-1.3575316625627514,1.0,1.0,4.0,2,0,1,1,0,1,0,0,1,1,0.0,3,3.0,4,4,4,4,4,4,3,4,3,4,2,2,2,1,2,3,2,2,0
1,3.0,2.0,-1.3575316625627514,1.0,1.0,1.0,3,0,1,1,1,0,0,0,0,1,1.0,1,2.0,1,1,4,5,5,5,5,5,5,4,3,4,3,4,4,4,5,5,0
2,2.0,1.0,-0.2999645033424777,1.0,3.0,1.0,3,1,0,0,1,0,1,1,1,1,0.0,3,4.0,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,3,3,0
1,2.0,3.0,-0.2999645033424777,1.0,3.0,1.0,4,0,0,1,1,0,0,1,1,0,0.0,4,5.0,4,5,5,3,5,5,5,5,4,4,4,4,5,5,4,5,5,5,0
2,1.0,3.0,-0.2999645033424777,1.0,1.0,2.0,3,1,0,0,1,0,1,1,1,1,1.0,5,5.0,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,0
1,1.0,3.0,-1.3575316625627514,1.0,2.0,2.0,2,0,0,0,1,1,0,0,0,1,1.0,4,5.0,4,5,3,5,4,5,4,4,4,5,1,1,1,2,5,4,3,5,0
2,2.0,2.0,-0.2999645033424777,1.0,2.0,3.0,2,0,1,1,0,0,0,1,0,1,0.0,5,4.0,4,4,5,3,5,5,4,4,5,4,4,4,5,4,5,5,5,4,0
2,3.0,2.0,1.8151698150980697,1.0,3.0,2.0,3,1,1,0,1,0,0,0,1,1,0.0,5,5.0,4,5,5,4,3,4,4,5,4,5,4,5,5,3,4,4,3,5,0
2,3.0,2.0,-0.2999645033424777,1.0,2.0,2.0,4,0,0,0,1,1,1,1,1,0,0.0,4,5.0,5,4,5,3,5,5,3,5,5,5,5,4,3,5,2,1,2,2,0
1,2.0,1.0,-0.2999645033424777,1.0,1.0,2.0,2,0,0,1,1,0,0,1,1,1,1.0,4,4.0,4,3,5,5,5,5,5,5,5,5,3,4,4,3,4,4,3,3,0
1,2.0,1.0,-0.2999645033424777,1.0,2.0,3.0,1,0,1,1,0,0,0,0,0,1,1.0,1,3.0,1,1,4,4,5,5,5,3,4,5,2,2,2,2,2,3,2,2,0
2,4.0,2.0,1.8151698150980697,1.0,2.0,2.0,3,1,1,0,0,0,0,1,0,1,0.0,5,5.0,4,5,4,5,5,5,4,5,5,3,5,5,5,4,1,1,1,2,0
2,2.0,2.0,-0.2999645033424777,1.0,1.0,2.0,1,0,1,1,0,0,0,0,0,1,1.0,4,4.0,5,4,5,4,5,4,4,5,5,5,1,1,1,3,2,1,2,2,0
2,3.0,2.0,0.7576026558777961,1.0,1.0,2.0,1,0,1,0,1,0,0,1,0,1,0.0,5,4.0,5,4,3,4,4,4,4,4,4,4,4,5,5,5,4,4,5,5,0
2,3.0,2.0,-0.2999645033424777,1.0,2.0,1.0,2,1,0,1,0,0,0,0,0,1,1.0,1,2.0,1,2,3,5,5,5,5,5,3,4,5,4,4,5,5,4,4,5,0
2,2.0,1.0,1.8151698150980697,1.0,1.0,3.0,2,0,0,1,1,0,0,1,1,0,0.0,4,4.0,5,5,4,4,5,5,3,4,4,5,3,1,1,2,5,4,4,5,0
2,2.0,1.0,-0.2999645033424777,1.0,1.0,2.0,4,1,0,0,1,0,0,0,1,1,1.0,5,3.0,4,4,4,2,5,5,2,1,3,2,4,4,2,2,2,5,4,2,0
2,2.0,2.0,1.8151698150980697,1.0,1.0,1.0,1,0,0,1,1,0,0,0,1,1,0.0,5,4.0,4,4,3,5,3,4,5,5,5,4,5,4,5,5,4,5,5,4,0
2,1.0,2.0,-0.2999645033424777,1.0,2.0,3.0,2,0,1,0,0,0,1,1,0,0,1.0,1,1.0,3,2,5,4,4,4,4,4,4,4,5,3,4,5,5,5,5,5,0
1,2.0,2.0,1.8151698150980697,1.0,2.0,1.0,2,0,0,0,1,1,1,1,1,0,0.0,4,3.0,5,4,4,5,5,5,5,4,4,5,1,2,1,2,4,4,4,3,0
2,2.0,2.0,-0.2999645033424777,1.0,2.0,1.0,2,1,1,0,1,0,1,1,1,1,1.0,4,4.0,5,4,4,5,5,5,4,3,4,4,4,4,3,3,3,4,4,4,0
1,2.0,4.0,0.7576026558777961,1.0,1.0,1.0,1,0,0,1,0,0,1,1,1,0,0.0,5,5.0,4,5,5,5,5,4,5,5,5,4,5,5,5,5,2,1,2,2,0
2,3.0,4.0,-0.2999645033424777,1.0,1.0,1.0,2,1,0,0,1,0,0,0,1,1,0.0,4,4.0,4,5,5,5,4,4,4,4,5,5,4,5,5,5,3,3,5,3,0
2,2.0,4.0,-0.2999645033424777,1.0,1.0,1.0,1,0,1,0,0,0,1,0,1,1,0.0,3,5.0,5,4,4,4,3,4,3,5,5,5,1,3,1,1,5,5,5,4,0
2,4.0,2.0,0.7576026558777961,1.0,2.0,1.0,3,0,1,1,0,0,0,1,1,0,0.0,3,4.0,4,5,5,5,4,4,5,4,5,5,5,5,4,4,5,4,4,4,0
2,2.0,4.0,-0.2999645033424777,1.0,2.0,1.0,3,0,1,1,0,1,0,1,0,1,0.0,5,5.0,5,3,4,4,4,5,5,3,5,5,3,5,3,4,3,5,4,5,0
1,1.0,2.0,0.7576026558777961,1.0,1.0,2.0,2,1,1,0,0,0,0,1,0,1,0.0,3,4.0,5,4,5,4,3,4,3,1,1,2,3,4,4,5,4,4,4,5,0
2,2.0,3.0,-1.3575316625627514,1.0,1.0,2.0,1,1,0,0,1,0,0,0,1,1,0.0,3,5.0,5,5,5,4,5,5,4,5,5,5,1,1,1,1,4,4,3,4,0
2,3.0,3.0,-1.3575316625627514,1.0,1.0,1.0,2,1,0,1,0,0,0,0,1,1,0.0,5,5.0,4,5,3,5,5,5,2,2,1,1,4,4,4,5,3,1,1,2,0
2,2.0,1.0,-0.2999645033424777,1.0,1.0,2.0,1,0,1,0,1,0,0,0,1,1,0.0,3,4.0,4,4,4,4,5,4,3,4,5,4,4,4,5,4,5,4,4,5,0
1,2.0,4.0,-0.2999645033424777,1.0,1.0,4.0,3,0,1,0,1,0,0,0,0,1,1.0,5,4.0,4,3,5,4,4,5,4,5,5,4,4,4,3,4,4,5,4,4,0
2,2.0,2.0,-0.2999645033424777,1.0,1.0,1.0,1,0,1,0,1,0,1,0,1,1,1.0,4,5.0,4,4,4,5,4,5,5,5,5,5,5,4,5,5,4,5,4,4,0
2,2.0,3.0,0.7576026558777961,1.0,1.0,1.0,2,1,1,0,1,0,1,1,1,0,1.0,4,5.0,4,3,4,5,3,4,4,4,4,4,4,4,3,3,3,4,3,3,0
2,2.0,2.0,-0.2999645033424777,1.0,2.0,1.0,1,1,0,1,0,0,0,0,1,1,0.0,4,5.0,5,4,5,4,4,4,3,1,1,2,5,4,4,4,5,4,4,4,0
1,3.0,2.0,1.8151698150980697,1.0,2.0,3.0,4,0,0,1,1,0,0,1,0,1,0.0,3,5.0,3,4,1,2,3,2,3,4,5,4,3,4,3,4,4,5,4,4,0
1,4.0,2.0,-0.2999645033424777,1.0,1.0,2.0,2,0,0,1,1,0,0,0,1,1,0.0,4,4.0,5,4,5,4,4,3,4,4,5,5,3,3,4,4,4,5,5,5,0
1,1.0,1.0,-1.3575316625627514,1.0,2.0,2.0,3,1,1,0,1,0,0,0,1,1,0.0,2,1.0,2,2,1,2,2,2,5,3,5,5,5,3,5,5,5,4,5,5,0
1,1.0,3.0,0.7576026558777961,1.0,1.0,3.0,2,0,1,1,0,0,0,1,0,0,1.0,5,4.0,3,4,4,5,5,3,1,2,1,2,5,4,4,5,4,4,3,4,0
